System,Variable,Filename,ShortName,Unit
Bovine meat,VOP,bvmeat_vop_00.tif,Bovine_meat,USD/km2/yr
Bovine milk,VOP,bvmilk_vop_00.tif,Bovine_milk,USD/km2/yr
All livestock exc. low density poultry,VOP,hipo_vop_00.tif,Livestock_noLDpoultry,USD/km2/yr
All livestock,VOP,ls_vop_00.tif,Livestock,USD/km2/yr
All livestock exc. poultry,VOP,nopo_vop_00.tif,Livestock_noPoultry,USD/km2/yr
Pig meat,VOP,pimeat_vop_00.tif,Pig_meat,USD/km2/yr
Poultry,VOP,pomeat_vop_00.tif,Poultry,USD/km2/yr
Ruminants,VOP,rum_vop_00.tif,Ruminants,USD/km2/yr
Sheep and goat milk,VOP,sgmilk_vop_00.tif,Shoat_milk,USD/km2/yr
Sheep and goat meat ,VOP,sgmeat_vop_00.tif,Shoat_meat,USD/km2/yr
Bovine meat,MeatYield,bvmeat_kg_00.tif,Bovine_meat,kg/km2/year
Bovine milk,MeatYield,bvmilk_kg_00.tif,Bovine_milk,kg/km2/year
All livestock exc. low density poultry,MeatYield,hipo_kg_00.tif,Livestock_noLDpoultry,kg/km2/year
All livestock,MeatYield,ls_kg_00.tif,Livestock,kg/km2/year
All livestock exc. poultry,MeatYield,nopo_kg_00.tif,Livestock_noPoultry,kg/km2/year
Pig meat,MeatYield,pimeat_kg_00.tif,Pig_meat,kg/km2/year
Poultry,MeatYield,ptry_kg_00.tif,Poultry,kg/km2/year
Ruminants,MeatYield,rum_kg_00.tif,Ruminants,kg/km2/year
Sheep and goat milk,MeatYield,sgmilk_kg_00.tif,Shoat_milk,kg/km2/year
Sheep and goat meat ,MeatYield,sgmeat_kg_00.tif,Shoat_meat,kg/km2/year
